                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6661,                 2.6717,                 2.1148,                0.00108,                0.19495,                0.00066,                0.00016,                 3.4772,                    inf,                  8.274,              0.0004699,              0.0004699,              0.0004699
                      2,                 1.8685,                 2.6505,                 2.2313,                0.00108,                0.19495,                0.00066,                0.00016,                      0,                 8.5625,                      0,             0.00094436,             0.00094436,             0.00094436
                      3,                 1.8821,                 2.6829,                 2.2359,                0.00326,                0.21274,                0.01077,                0.00149,                 4.2951,                    inf,                 12.872,              0.0014169,              0.0014169,              0.0014169
                      4,                 1.8699,                 2.6854,                  2.207,                0.00109,                0.01515,                0.00079,                0.00037,                 4.4571,                    inf,                  7.965,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.7917,                 2.5337,                 2.1459,                0.01089,                0.13481,                0.00983,                0.00346,                 2.7237,                 15.184,                 3.4434,              0.0014177,              0.0014177,              0.0014177
                      6,                 1.7248,                 2.5127,                  2.106,                0.12926,                0.29192,                0.13253,                0.04571,                 2.2346,                 3.0957,                 2.8527,              0.0014149,              0.0014149,              0.0014149
                      7,                 1.6593,                 2.4471,                 2.0454,                0.20346,                0.23054,                0.16336,                 0.0651,                 2.3677,                 2.7686,                 2.9973,               0.001412,               0.001412,               0.001412
                      8,                 1.6375,                 2.4238,                 2.0328,                0.23446,                 0.3676,                0.23124,                0.10235,                 2.1218,                 3.8067,                 2.6925,              0.0014092,              0.0014092,              0.0014092
                      9,                 1.6429,                 2.4034,                 2.0307,                0.24666,                0.41554,                 0.2355,                0.10238,                 2.3164,                 4.0778,                 2.7725,              0.0014064,              0.0014064,              0.0014064
                     10,                 1.6372,                 2.3808,                 2.0225,                 0.2751,                0.28182,                 0.2729,                0.11118,                 1.8727,                 2.7699,                  2.472,              0.0014035,              0.0014035,              0.0014035
                     11,                 1.5985,                 2.2732,                 1.9791,                0.33548,                0.36072,                0.33126,                0.12894,                  2.049,                 2.4774,                 2.5703,              0.0014007,              0.0014007,              0.0014007
                     12,                  1.578,                 2.2322,                 1.9593,                0.27861,                0.44235,                0.36293,                0.14812,                 1.8285,                 2.0587,                 2.4809,              0.0013979,              0.0013979,              0.0013979
                     13,                 1.5926,                  2.262,                 1.9792,                0.27581,                 0.5949,                0.37705,                0.15989,                 1.8677,                 2.7181,                 2.3774,               0.001395,               0.001395,               0.001395
                     14,                 1.5321,                 2.2521,                 1.9344,                0.40282,                 0.4446,                0.43802,                0.17323,                 1.9118,                 2.2422,                 2.4918,              0.0013922,              0.0013922,              0.0013922
                     15,                 1.5824,                 2.2076,                 1.9708,                0.22868,                0.46496,                0.27944,                0.10341,                  1.946,                 2.2717,                 2.4743,              0.0013894,              0.0013894,              0.0013894
                     16,                 1.5639,                 2.2766,                 1.9789,                0.31198,                0.47168,                 0.3686,                 0.1703,                 1.8487,                 2.2794,                 2.3903,              0.0013866,              0.0013866,              0.0013866
                     17,                 1.5478,                 2.2033,                 1.9535,                 0.4809,                 0.4885,                0.43412,                0.19122,                 1.7136,                 2.2336,                 2.3152,              0.0013837,              0.0013837,              0.0013837
                     18,                 1.5189,                 2.1324,                 1.9218,                 0.2662,                0.48555,                0.34181,                0.15101,                 1.7695,                 2.4848,                 2.4312,              0.0013809,              0.0013809,              0.0013809
                     19,                 1.5406,                 2.1362,                 1.9368,                 0.3356,                0.51321,                0.36712,                0.13975,                 1.9322,                 2.0002,                 2.5256,              0.0013781,              0.0013781,              0.0013781
                     20,                 1.4693,                 2.1808,                 1.8834,                0.37359,                0.41259,                0.33585,                0.12297,                 1.8909,                 2.1721,                 2.5266,              0.0013752,              0.0013752,              0.0013752
                     21,                 1.5163,                 2.1635,                 1.9177,                0.33417,                0.35346,                0.27082,                0.08896,                  1.971,                 2.4675,                 2.6064,              0.0013724,              0.0013724,              0.0013724
                     22,                 1.5493,                 2.1997,                 1.9375,                0.36703,                0.51469,                0.43233,                0.16675,                 1.8882,                 2.0174,                 2.4523,              0.0013696,              0.0013696,              0.0013696
                     23,                 1.4948,                 2.1335,                 1.9006,                0.38086,                0.56046,                0.37865,                 0.1509,                 1.8939,                 2.0489,                 2.4824,              0.0013668,              0.0013668,              0.0013668
                     24,                 1.5019,                 2.1039,                 1.9017,                 0.3597,                0.50859,                0.44243,                0.19067,                 1.8794,                 2.1332,                 2.4111,              0.0013639,              0.0013639,              0.0013639
                     25,                 1.4526,                 2.1376,                  1.874,                0.30551,                0.47247,                0.40997,                0.16883,                  1.869,                 2.1974,                 2.4738,              0.0013611,              0.0013611,              0.0013611
                     26,                 1.5047,                 2.1096,                 1.8995,                0.29309,                0.50831,                0.38407,                0.15706,                 1.8066,                 2.2073,                 2.4512,              0.0013583,              0.0013583,              0.0013583
                     27,                 1.4747,                 2.1107,                 1.8669,                0.44243,                0.44988,                0.48294,                0.18446,                 1.9192,                 2.1146,                 2.4846,              0.0013554,              0.0013554,              0.0013554
                     28,                 1.4501,                  2.088,                 1.8612,                0.34092,                 0.5547,                0.45332,                0.19275,                 1.7776,                 2.1096,                  2.461,              0.0013526,              0.0013526,              0.0013526
                     29,                 1.5225,                 2.1128,                  1.907,                0.44006,                0.57234,                0.44822,                0.18957,                 1.8161,                 2.1065,                    2.5,              0.0013498,              0.0013498,              0.0013498
                     30,                 1.4496,                 2.0626,                  1.852,                0.27328,                0.60575,                 0.4115,                0.17998,                  1.879,                 2.1403,                  2.482,              0.0013469,              0.0013469,              0.0013469
                     31,                 1.4204,                 2.0888,                 1.8537,                0.36116,                0.56255,                0.47573,                0.15511,                 1.9855,                 1.9618,                    2.6,              0.0013441,              0.0013441,              0.0013441
                     32,                 1.3917,                  1.991,                 1.8245,                0.48507,                0.60746,                0.50974,                0.22785,                 1.7885,                 1.9929,                 2.4038,              0.0013413,              0.0013413,              0.0013413
                     33,                 1.4341,                 2.0281,                 1.8571,                0.41537,                0.56061,                0.43583,                0.17257,                 1.8323,                 1.9893,                 2.4067,              0.0013385,              0.0013385,              0.0013385
                     34,                 1.4332,                  2.055,                 1.8562,                0.46218,                0.39448,                0.44871,                0.20407,                 1.7779,                 1.8815,                 2.3808,              0.0013356,              0.0013356,              0.0013356
                     35,                 1.4489,                 2.0234,                 1.8508,                0.42993,                0.58057,                0.46284,                0.17966,                  1.927,                 1.8283,                 2.5572,              0.0013328,              0.0013328,              0.0013328
                     36,                 1.3877,                 1.9497,                 1.8145,                0.33024,                0.54911,                0.42357,                 0.1941,                 2.0023,                 2.1265,                 2.5532,                0.00133,                0.00133,                0.00133
                     37,                 1.4398,                 2.0257,                 1.8429,                0.34306,                 0.5888,                0.42935,                 0.1694,                 1.8495,                 1.9057,                 2.4599,              0.0013271,              0.0013271,              0.0013271
                     38,                 1.4073,                 1.9791,                  1.848,                0.47484,                0.53536,                0.47252,                0.23692,                  1.758,                 2.0304,                 2.3409,              0.0013243,              0.0013243,              0.0013243
                     39,                 1.4019,                 1.9168,                 1.8144,                0.32917,                0.52106,                0.40236,                0.18304,                 1.8325,                  2.556,                 2.4291,              0.0013215,              0.0013215,              0.0013215
                     40,                 1.4122,                 1.9934,                 1.8422,                0.50806,                0.51181,                0.46106,                0.23015,                 1.6748,                 2.0029,                  2.303,              0.0013187,              0.0013187,              0.0013187
                     41,                 1.3699,                 1.9211,                 1.8072,                0.37203,                0.37125,                0.35576,                0.14059,                 2.0769,                 2.1113,                 2.6964,              0.0013158,              0.0013158,              0.0013158
                     42,                 1.4011,                  1.943,                 1.8202,                0.39094,                0.53359,                0.45938,                0.21148,                 1.7458,                 2.0054,                 2.5095,               0.001313,               0.001313,               0.001313
                     43,                 1.3738,                 1.9309,                 1.8074,                0.40013,                0.41632,                0.40371,                  0.168,                 1.8609,                 2.3057,                 2.5294,              0.0013102,              0.0013102,              0.0013102
                     44,                 1.3939,                 1.9427,                 1.8185,                0.39222,                0.51043,                0.45511,                0.18878,                  1.765,                 1.9164,                 2.4981,              0.0013073,              0.0013073,              0.0013073
                     45,                 1.3938,                 1.9492,                 1.8091,                0.39914,                0.48392,                0.44212,                0.21159,                 1.7936,                 2.0148,                 2.4342,              0.0013045,              0.0013045,              0.0013045
                     46,                 1.4045,                 1.9138,                 1.8138,                 0.3492,                0.66488,                0.44303,                0.21743,                 1.8076,                 1.6198,                 2.4427,              0.0013017,              0.0013017,              0.0013017
                     47,                 1.3808,                 1.9412,                 1.8148,                0.71386,                0.45922,                0.49075,                0.22625,                 2.0589,                 2.1229,                 2.7188,              0.0012988,              0.0012988,              0.0012988
                     48,                 1.3683,                 1.8849,                 1.7991,                0.39088,                0.49269,                0.47514,                0.21997,                 1.7979,                 1.8505,                 2.3505,               0.001296,               0.001296,               0.001296
                     49,                 1.3484,                 1.8732,                  1.782,                0.41716,                0.55328,                0.49467,                0.22236,                 1.7476,                 1.9974,                 2.4141,              0.0012932,              0.0012932,              0.0012932
                     50,                 1.3625,                 1.8633,                  1.799,                0.34535,                 0.3798,                0.35752,                0.16882,                 2.0725,                 2.5233,                 2.6864,              0.0012904,              0.0012904,              0.0012904
                     51,                 1.3342,                 1.8764,                 1.7704,                0.44938,                0.59443,                0.55263,                0.24086,                 1.8461,                 1.6717,                  2.478,              0.0012875,              0.0012875,              0.0012875
                     52,                 1.3486,                  1.847,                 1.7705,                0.65759,                0.38818,                0.47091,                0.23374,                 1.9018,                 2.0738,                  2.519,              0.0012847,              0.0012847,              0.0012847
                     53,                 1.3532,                 1.8433,                 1.7843,                0.31744,                0.54227,                0.44452,                 0.1966,                 1.8136,                 2.0823,                 2.4648,              0.0012819,              0.0012819,              0.0012819
                     54,                 1.3693,                 1.8407,                   1.78,                0.34488,                0.38071,                 0.3442,                0.13701,                 1.9521,                 2.0229,                 2.6376,               0.001279,               0.001279,               0.001279
                     55,                 1.3782,                 1.8331,                 1.8054,                 0.4797,                0.59292,                 0.5578,                 0.2655,                 1.8001,                 1.8213,                 2.4559,              0.0012762,              0.0012762,              0.0012762
                     56,                 1.3294,                 1.7994,                 1.7563,                0.43864,                0.60598,                0.56075,                0.26814,                 1.9025,                 1.6113,                 2.4655,              0.0012734,              0.0012734,              0.0012734
                     57,                 1.3397,                  1.781,                 1.7623,                0.50918,                0.59627,                0.53986,                0.26334,                 1.8178,                 1.6948,                 2.5002,              0.0012706,              0.0012706,              0.0012706
                     58,                 1.3356,                 1.8313,                 1.7567,                 0.4278,                0.57669,                0.51126,                0.22514,                 1.8064,                 2.0051,                 2.3892,              0.0012677,              0.0012677,              0.0012677
                     59,                  1.325,                 1.7808,                 1.7647,                0.51769,                0.65828,                0.54757,                0.27793,                 1.7869,                 1.6068,                 2.3641,              0.0012649,              0.0012649,              0.0012649
                     60,                 1.3688,                 1.7966,                 1.7774,                0.49227,                0.59201,                0.54636,                0.25121,                 1.7856,                 1.7797,                 2.4747,              0.0012621,              0.0012621,              0.0012621
                     61,                 1.2937,                 1.7145,                 1.7441,                0.61973,                0.46625,                0.52409,                0.22907,                 1.9583,                 1.6626,                 2.6209,              0.0012592,              0.0012592,              0.0012592
                     62,                 1.3407,                 1.7452,                 1.7543,                0.62639,                0.51096,                0.55603,                0.26017,                 1.8321,                 1.7991,                 2.4675,              0.0012564,              0.0012564,              0.0012564
                     63,                 1.3474,                 1.7538,                 1.7634,                0.50238,                0.60821,                0.54853,                0.28076,                  1.819,                 1.9498,                 2.3982,              0.0012536,              0.0012536,              0.0012536
                     64,                 1.3055,                 1.7421,                 1.7536,                0.68202,                 0.5948,                0.55508,                0.27806,                  1.895,                 1.6238,                 2.4835,              0.0012507,              0.0012507,              0.0012507
                     65,                 1.3477,                 1.7274,                 1.7608,                0.63583,                0.54887,                0.53063,                0.27049,                 2.0779,                 1.7757,                 2.6756,              0.0012479,              0.0012479,              0.0012479
                     66,                 1.2689,                 1.6406,                 1.7116,                0.70725,                0.51975,                0.59116,                0.28795,                  1.938,                 1.5728,                 2.5051,              0.0012451,              0.0012451,              0.0012451
                     67,                  1.282,                 1.7216,                 1.7265,                0.46621,                0.62168,                 0.5878,                0.30527,                 1.9161,                  1.588,                 2.6223,              0.0012423,              0.0012423,              0.0012423
                     68,                 1.2933,                 1.7164,                 1.7258,                0.48149,                0.59038,                0.60015,                0.26172,                 1.9624,                 1.7503,                 2.5602,              0.0012394,              0.0012394,              0.0012394
                     69,                 1.2651,                  1.664,                 1.7195,                 0.5137,                0.65386,                0.54558,                0.26186,                 1.8587,                 1.7594,                 2.4876,              0.0012366,              0.0012366,              0.0012366
                     70,                 1.2661,                 1.6348,                   1.72,                0.72411,                0.55104,                 0.6699,                0.33325,                 1.7981,                  1.484,                 2.3886,              0.0012338,              0.0012338,              0.0012338
                     71,                 1.3057,                 1.6471,                 1.7424,                0.62311,                0.54897,                0.59092,                0.29284,                 1.8129,                 1.5244,                 2.4557,              0.0012309,              0.0012309,              0.0012309
                     72,                 1.3169,                 1.6447,                 1.7525,                0.75733,                0.56402,                0.60432,                0.31412,                 1.9123,                 1.5929,                 2.6225,              0.0012281,              0.0012281,              0.0012281
                     73,                 1.2378,                 1.6076,                 1.6994,                0.58113,                0.58283,                0.59147,                0.27488,                 1.9406,                 1.7222,                 2.4454,              0.0012253,              0.0012253,              0.0012253
                     74,                 1.2343,                 1.6376,                 1.6877,                0.51242,                0.57561,                0.57111,                0.27013,                  1.898,                 1.7727,                 2.4625,              0.0012225,              0.0012225,              0.0012225
                     75,                 1.2556,                   1.67,                 1.7152,                0.74609,                0.55082,                0.66763,                0.32625,                  1.926,                 1.4441,                 2.5039,              0.0012196,              0.0012196,              0.0012196
                     76,                 1.2656,                 1.6153,                 1.7059,                0.65436,                 0.5573,                0.64063,                0.27126,                 1.8642,                 1.6221,                 2.3945,              0.0012168,              0.0012168,              0.0012168
                     77,                 1.2657,                 1.6195,                 1.7047,                0.56632,                0.56402,                 0.5644,                0.27086,                 1.9739,                 1.7853,                 2.5726,               0.001214,               0.001214,               0.001214
                     78,                 1.2586,                 1.6265,                 1.6962,                0.60464,                0.59202,                0.61998,                0.29474,                 1.9358,                 1.4892,                 2.6464,              0.0012111,              0.0012111,              0.0012111
                     79,                 1.2497,                 1.5978,                 1.6859,                0.56256,                0.60282,                0.63677,                0.31321,                 1.8583,                 1.6254,                  2.411,              0.0012083,              0.0012083,              0.0012083
                     80,                 1.2638,                   1.62,                 1.6883,                0.63505,                  0.645,                 0.6453,                0.32416,                 1.9025,                 1.6697,                 2.5734,              0.0012055,              0.0012055,              0.0012055
                     81,                 1.2161,                 1.5449,                 1.6688,                0.78154,                0.48586,                0.62152,                0.29099,                 1.9797,                 1.9535,                 2.6179,              0.0012026,              0.0012026,              0.0012026
                     82,                 1.2623,                 1.5851,                  1.692,                0.66909,                0.59332,                0.70014,                0.35786,                 1.8448,                 1.3565,                 2.3902,              0.0011998,              0.0011998,              0.0011998
                     83,                 1.2247,                 1.5089,                 1.6711,                0.62678,                0.60283,                 0.6449,                0.32206,                 1.9878,                 1.5688,                 2.5445,               0.001197,               0.001197,               0.001197
                     84,                 1.2264,                 1.5162,                 1.6773,                0.68313,                0.51802,                0.61205,                 0.3291,                 1.7437,                 1.6415,                 2.2961,              0.0011942,              0.0011942,              0.0011942
                     85,                 1.2587,                 1.5189,                 1.7077,                 0.7468,                0.58671,                0.67053,                 0.3179,                 1.9021,                 1.4022,                 2.4062,              0.0011913,              0.0011913,              0.0011913
                     86,                 1.2087,                  1.519,                 1.6512,                0.75271,                0.58329,                0.66785,                0.31516,                 1.9131,                 1.3324,                 2.5128,              0.0011885,              0.0011885,              0.0011885
                     87,                 1.2327,                 1.5072,                 1.6728,                0.57637,                0.61678,                 0.6284,                0.33223,                 1.9233,                 1.5599,                 2.4924,              0.0011857,              0.0011857,              0.0011857
                     88,                 1.2203,                 1.4995,                 1.6795,                0.70547,                0.53351,                0.60808,                0.33518,                 1.7444,                 1.4658,                 2.3581,              0.0011828,              0.0011828,              0.0011828
                     89,                 1.2361,                 1.5124,                 1.6897,                0.61469,                0.66813,                0.67788,                0.33884,                 1.8732,                 1.3862,                 2.4801,                0.00118,                0.00118,                0.00118
                     90,                 1.2309,                 1.4749,                 1.6607,                0.61531,                0.68644,                0.68821,                0.34573,                 1.9194,                 1.4994,                 2.5411,              0.0011772,              0.0011772,              0.0011772
                     91,                 1.1907,                  1.466,                 1.6305,                0.63106,                0.65019,                0.64104,                0.31754,                 1.8849,                  1.558,                 2.5303,              0.0011744,              0.0011744,              0.0011744
                     92,                 1.2375,                 1.4686,                 1.6666,                0.56183,                0.64312,                0.58045,                0.26539,                 1.8364,                 1.4793,                 2.5522,              0.0011715,              0.0011715,              0.0011715
                     93,                 1.1915,                 1.4817,                  1.638,                0.61799,                0.66139,                0.68068,                0.33502,                  1.983,                 1.2897,                 2.6644,              0.0011687,              0.0011687,              0.0011687
                     94,                 1.2174,                 1.4274,                 1.6719,                0.52427,                  0.685,                0.63977,                0.33914,                 1.8554,                 1.4161,                 2.5604,              0.0011659,              0.0011659,              0.0011659
                     95,                 1.2279,                 1.4639,                 1.6661,                0.65483,                0.60458,                0.67703,                 0.3435,                 1.9319,                 1.4359,                 2.5152,               0.001163,               0.001163,               0.001163
                     96,                 1.2331,                 1.4732,                 1.6675,                0.59853,                0.66229,                0.64364,                0.31738,                 2.0557,                 1.5937,                 2.7489,              0.0011602,              0.0011602,              0.0011602
                     97,                 1.2016,                 1.4934,                 1.6458,                0.59508,                0.59262,                0.63542,                0.30654,                  2.017,                 1.7643,                 2.6404,              0.0011574,              0.0011574,              0.0011574
                     98,                  1.208,                 1.4503,                 1.6496,                0.65774,                0.65034,                0.67975,                0.36773,                 1.8001,                 1.3449,                 2.3739,              0.0011545,              0.0011545,              0.0011545
                     99,                 1.1749,                 1.4122,                 1.6328,                0.72202,                0.56107,                0.64445,                0.34728,                 1.7308,                 1.4364,                   2.39,              0.0011517,              0.0011517,              0.0011517
                    100,                 1.2089,                 1.4212,                 1.6474,                0.63114,                0.63231,                0.66606,                0.34519,                 1.8152,                 1.3825,                 2.4281,              0.0011489,              0.0011489,              0.0011489
                    101,                 1.1647,                 1.4033,                 1.6315,                0.66619,                0.63341,                0.68496,                 0.3625,                 1.9055,                 1.2144,                  2.625,              0.0011461,              0.0011461,              0.0011461
                    102,                 1.2103,                 1.4673,                 1.6533,                0.81218,                0.56863,                0.70723,                0.37885,                 1.7574,                 1.3101,                 2.4271,              0.0011432,              0.0011432,              0.0011432
                    103,                 1.1839,                 1.4125,                  1.635,                0.66438,                0.57669,                0.65706,                 0.3244,                 1.9379,                 1.3827,                 2.6202,              0.0011404,              0.0011404,              0.0011404
                    104,                  1.152,                 1.4078,                 1.6245,                0.69531,                0.57252,                0.67576,                0.35239,                 1.7292,                   1.31,                 2.3636,              0.0011376,              0.0011376,              0.0011376
                    105,                 1.1665,                 1.3868,                 1.6222,                0.62658,                0.68982,                0.65158,                0.30302,                 2.1996,                   1.51,                  2.873,              0.0011347,              0.0011347,              0.0011347
                    106,                 1.1863,                 1.4036,                 1.6132,                0.73045,                0.59663,                0.71513,                0.34553,                 1.8343,                 1.5942,                 2.4549,              0.0011319,              0.0011319,              0.0011319
                    107,                  1.194,                 1.3415,                 1.6333,                0.64765,                0.59037,                0.68382,                0.33972,                 1.8583,                 1.4201,                 2.4475,              0.0011291,              0.0011291,              0.0011291
                    108,                 1.1764,                 1.3623,                 1.6217,                0.73779,                0.65587,                0.74217,                0.39635,                 1.8414,                 1.3771,                 2.5101,              0.0011263,              0.0011263,              0.0011263
                    109,                  1.164,                 1.4004,                 1.6137,                0.68204,                0.66388,                0.70957,                0.35357,                 1.8721,                 1.1581,                 2.5904,              0.0011234,              0.0011234,              0.0011234
                    110,                  1.124,                 1.3207,                 1.5693,                0.77011,                0.61055,                 0.7045,                 0.3628,                 1.9555,                 1.6003,                 2.5593,              0.0011206,              0.0011206,              0.0011206
                    111,                  1.195,                 1.3727,                 1.6585,                 0.6792,                0.58161,                0.67832,                0.35614,                 1.8322,                 1.3728,                 2.5006,              0.0011178,              0.0011178,              0.0011178
                    112,                 1.1448,                 1.3652,                 1.5987,                0.67702,                 0.6742,                0.67726,                0.34399,                 1.9341,                 1.3599,                  2.643,              0.0011149,              0.0011149,              0.0011149
                    113,                 1.1426,                 1.3303,                 1.5979,                0.67523,                0.66377,                0.71382,                0.36237,                 1.7457,                 1.5845,                 2.4737,              0.0011121,              0.0011121,              0.0011121
                    114,                 1.1145,                  1.296,                 1.5688,                0.74463,                0.69375,                0.76401,                0.40709,                 1.7886,                 1.3763,                 2.3742,              0.0011093,              0.0011093,              0.0011093
                    115,                 1.1717,                 1.3132,                 1.6169,                0.82849,                0.62325,                0.73298,                0.39082,                 1.9129,                 1.2794,                 2.6271,              0.0011064,              0.0011064,              0.0011064
                    116,                 1.1248,                   1.28,                 1.5795,                0.70039,                0.64616,                0.71466,                0.35079,                 1.9877,                 1.5487,                 2.6864,              0.0011036,              0.0011036,              0.0011036
                    117,                 1.1436,                 1.3014,                 1.5897,                0.61499,                 0.6405,                0.66594,                0.36431,                 1.8038,                 1.3634,                 2.5046,              0.0011008,              0.0011008,              0.0011008
                    118,                 1.1166,                 1.2991,                 1.5769,                0.79347,                 0.6373,                0.73702,                0.36088,                 2.0363,                 1.4206,                 2.7257,               0.001098,               0.001098,               0.001098
                    119,                 1.1285,                 1.3054,                 1.5853,                0.71737,                0.68017,                0.73294,                0.39166,                 1.7826,                 1.3818,                  2.488,              0.0010951,              0.0010951,              0.0010951
                    120,                 1.0904,                  1.258,                  1.546,                0.73158,                0.68174,                0.70626,                0.40143,                 1.6938,                 1.5025,                 2.3571,              0.0010923,              0.0010923,              0.0010923
                    121,                 1.0887,                 1.2891,                 1.5387,                0.78018,                0.60713,                 0.7189,                0.39082,                 1.8848,                 1.2609,                 2.5645,              0.0010895,              0.0010895,              0.0010895
